,USPS,ST,NAME,ZCTA5,LAT,LON
852,Auckland,NZ-AUK,Waiuku Central,2123,-37.2492813,174.7302071
853,Auckland,NZ-AUK,Waiuku East,2123,-37.2492813,174.7302071
849,Auckland,NZ-AUK,Tamakae,2123,-37.24720735,174.7295566
850,Auckland,NZ-AUK,Hamilton Estate,2123,-37.24315555,174.7401811
89,Waikato,NZ-WKO,Onewhero,204,-35.226546,174.0619187
90,Waikato,NZ-WKO,Pekerau,483,-35.0045993,173.367734
91,Waikato,NZ-WKO,Marotiri,0,-38.543759,175.8450769
92,Bay of Plenty,NZ-BOP,Koutu,0,-35.476443,173.4127895
93,Bay of Plenty,NZ-BOP,Waiotahi,0,-36.0856423,174.5310402
94,Hawke's Bay,NZ-HKB,Maungataniwha-Raupunga,0,-35.167449,173.5234814
95,Taranaki,NZ-TKI,Oakura,184,-35.389444,174.3424747
96,Taranaki,NZ-TKI,Moturoa,0,-35.20974655,174.0905227
97,Taranaki,NZ-TKI,Tikorangi,0,-34.5306819,172.8661914
98,Manawatu-Wanganui,NZ-MWT,Titoki,0,-35.7339864,174.0590939
99,Wellington,NZ-WGN,Taita North,448,-35.0907445,173.7556292
100,Wellington,NZ-WGN,Taita South,448,-35.0907445,173.7556292
101,Wellington,NZ-WGN,Aorangi Forest,0,-35.48103265,174.7411196
102,Tasman,NZ-TAS,Motueka North,0,-34.97889305,173.8641333
103,Canterbury,NZ-CAN,Rawhiti,0,-35.2179192,174.2573805
104,Canterbury,NZ-CAN,Ben McLeod,174,-35.8091126,174.5044756
105,Canterbury,NZ-CAN,Waimate North,0,-35.3131639,173.885529
106,Northland,NZ-NTL,Inlets Far North District,230,-35.20701624,173.962941
107,Northland,NZ-NTL,Rangitihi,0,-43.7211338,-176.5790444
108,Northland,NZ-NTL,Rangitane-Purerua,0,-44.0431554,-176.4558169
109,Northland,NZ-NTL,Kaipara Coastal,376,-35.69417018,173.5728816
110,Northland,NZ-NTL,Maungaru,381,-35.81667,173.96667
855,Auckland,NZ-AUK,Puni,2678,-37.2310863,174.8563397
865,Auckland,NZ-AUK,Buckland,2677,-37.227176,174.9247958
864,Auckland,NZ-AUK,Pukekohe Hospital,2677,-37.2175399,174.9043112
862,Auckland,NZ-AUK,Cloverlea (Auckland),2020,-37.2133792,174.8896732
860,Auckland,NZ-AUK,Rosa Birch Park,2020,-37.2060186,174.8927549
566,Auckland,NZ-AUK,Belmont (Auckland),2020,-37.2031852,174.8823285
856,Auckland,NZ-AUK,Pukekohe North West,2120,-37.2006384,174.9036875
858,Auckland,NZ-AUK,Pukekohe West,2120,-37.2006384,174.9036875
863,Auckland,NZ-AUK,Pukekohe Central,2120,-37.2006384,174.9036875
861,Auckland,NZ-AUK,Rooseville Park,2120,-37.197045,174.9143066
857,Auckland,NZ-AUK,Anselmi Ridge,2120,-37.1938911,174.9249235
866,Auckland,NZ-AUK,Bombay Hills,2675,-37.1937162,174.9816273
833,Auckland,NZ-AUK,Glenbrook,2681,-37.1932623,174.7607499
845,Auckland,NZ-AUK,Patumahoe,2678,-37.1877387,174.8282252
859,Auckland,NZ-AUK,Cape Hill,2120,-37.1873036,174.909127
638,Auckland,NZ-AUK,Wesley West,801,-37.148888,174.8894266
646,Auckland,NZ-AUK,Wesley South,801,-37.148888,174.8894266
649,Auckland,NZ-AUK,Wesley East,801,-37.148888,174.8894266
193,Auckland,NZ-AUK,Ramarama,2579,-37.14158226,174.9725545
1066,Auckland,NZ-AUK,Karaka Creek,2679,-37.14089236,174.7693725
867,Auckland,NZ-AUK,Ararimu,2343,-37.1406138,175.037806
806,Auckland,NZ-AUK,Clarks Beach,2122,-37.1368737,174.7044928
825,Auckland,NZ-AUK,Kingseat-Karaka,2679,-37.1251034,174.8016788
847,Auckland,NZ-AUK,Opaheke,2577,-37.1141547,175.0104283
848,Auckland,NZ-AUK,Drury,2113,-37.1020668,174.951828
851,Auckland,NZ-AUK,Drury Rural,2113,-37.1020668,174.951828
775,Auckland,NZ-AUK,Manukau Central,2022,-37.0864743,174.728854
731,Auckland,NZ-AUK,Awhitu,2684,-37.0843949,174.6349556
834,Auckland,NZ-AUK,Hingaia,2580,-37.0825637,174.9112973
844,Auckland,NZ-AUK,Rosehill,2113,-37.077372,174.9394739
141,Waikato,NZ-WKO,Saint Andrews East,7988,-44.52507185,171.1870945
142,Waikato,NZ-WKO,Hamilton East Cook,3216,-37.7922438,175.2987559
143,Waikato,NZ-WKO,Putararu Rural,3411,-38.04301305,175.780152
144,Waikato,NZ-WKO,Putararu,3411,-38.04301305,175.780152
145,Waikato,NZ-WKO,Lake Taupo Bays,3381,-38.91689504,175.7541057
146,Bay of Plenty,NZ-BOP,Rangataiki,3379,-38.890951,176.4146318
147,Bay of Plenty,NZ-BOP,Te Teko Lakes,3167,-38.03329396,176.7960971
148,Bay of Plenty,NZ-BOP,Mokorua Bush,3120,-37.97459829,177.0006857
149,Bay of Plenty,NZ-BOP,Kawerau Industrial,3120,-37.96233285,176.9907498
150,Hawke's Bay,NZ-HKB,Omahu Strip,4175,-39.57895811,176.7361095
151,Hawke's Bay,NZ-HKB,Poraiti Hills,4112,-39.49544685,176.8509577
152,Manawatu-Wanganui,NZ-MWT,Lower Aramoho,4500,-39.89350002,175.0696408
153,Manawatu-Wanganui,NZ-MWT,Mokai Patea,4720,-39.67506504,175.7987962
154,Manawatu-Wanganui,NZ-MWT,Maraetarata,4412,-40.37843311,175.5823222
155,Manawatu-Wanganui,NZ-MWT,Pihauatua,4910,-40.48037886,175.9113571
156,Manawatu-Wanganui,NZ-MWT,Poutoa,4410,-40.37639273,175.6313088
157,Wellington,NZ-WGN,Postgate,0,-41.5000831,172.8344077
158,Wellington,NZ-WGN,Ngaio North,0,-29.2505355,-177.917775
159,Wellington,NZ-WGN,Ngaio South,0,-29.2505355,-177.917775
160,Wellington,NZ-WGN,Cameron and Soldiers Park,5810,-40.95635056,175.6543455
161,Wellington,NZ-WGN,McJorrow Park,5810,-40.95426094,175.6724102
162,Tasman,NZ-TAS,Takaka Hills,7198,-41.00384122,172.9157185
163,Tasman,NZ-TAS,Islands Tasman District,7081,-41.27570378,173.1396999
164,Tasman,NZ-TAS,Richmond West (Tasman District),7020,-41.3364142,173.1950727
165,Tasman,NZ-TAS,Richmond Central (Tasman District),7020,-41.33171294,173.1883742
166,Tasman,NZ-TAS,Richmond South (Tasman District),7020,-41.35957279,173.1963093
167,Tasman,NZ-TAS,Wilkes Park,0,-50.7732887,166.0874996
168,Nelson,NZ-NSN,Inlets Nelson City,7011,-41.29544919,173.2233563
169,Marlborough,NZ-MBH,Waikawa (Marlborough District),7220,-41.2704854,174.0271611
170,Marlborough,NZ-MBH,Waitohi (Marlborough District),7220,-41.29811847,174.0078825
171,Canterbury,NZ-CAN,Kaikoura Ranges,7274,-41.99897842,173.6645208
172,West Coast,NZ-WTC,Buller Coalfields,7891,-41.72416892,171.7906717
173,West Coast,NZ-WTC,Westland Glaciers-Bruce Bay,7886,-43.63689274,169.5789833
174,Canterbury,NZ-CAN,Oxford Estate,7430,-43.30110949,172.1960243
175,Canterbury,NZ-CAN,Sovereign Palms,7630,-43.36572408,172.6630026
176,Canterbury,NZ-CAN,Ilam University,8041,-43.52009847,172.5764041
177,Canterbury,NZ-CAN,Travis Wetlands,8083,-43.48562505,172.692271
178,Canterbury,NZ-CAN,St Albans East,0,51.8102011,-0.367707983
179,Canterbury,NZ-CAN,Ashburton Forks,7700,-43.70251281,171.5495375
180,Canterbury,NZ-CAN,Opua (Mackenzie District),7987,-44.00120402,170.8901765
181,Area Outside,NZ-OUT,Chatham Islands,8942,-44.28815355,-176.2213429
182,Otago,NZ-OTA,Oamaru North Milner Park,9400,-45.07559653,170.9896896
183,Otago,NZ-OTA,Oamaru North Orana Park,9400,-45.08662409,170.9753791
184,Otago,NZ-OTA,Wakatipu Basin,9371,-45.05101372,168.7108802
185,Southland,NZ-STL,Fiordland,0,-45.29155285,167.4879931
186,Southland,NZ-STL,Prestonville-Grasmere,9810,-46.38443001,168.3529353
187,Southland,NZ-STL,Turnbull Thompson Park,9810,-46.41149417,168.3755871
188,Northland,NZ-NTL,Puketotara,0,-36.9093529,175.5194946
189,Northland,NZ-NTL,Hikurangi,0,-36.7874622,175.6244044
140,Auckland,NZ-AUK,Papakura Industrial,2110,-37.07468602,174.9639031
843,Auckland,NZ-AUK,Karaka Lakes,2110,-37.0719934,174.9237559
1951,Auckland,NZ-AUK,Red Hill,2110,-37.06982099,174.9723699
925,Auckland,NZ-AUK,Hunua,2583,-37.06800379,175.0885638
194,Waikato,NZ-WKO,Colville,3584,-36.6344954,175.4767806
195,Waikato,NZ-WKO,Coromandel,3543,-36.7571639,175.5007016
196,Waikato,NZ-WKO,Mercury Bay North,3510,-36.8158558,175.7226052
197,Waikato,NZ-WKO,Whitianga North,3510,-36.8331861,175.7024856
198,Waikato,NZ-WKO,Whitianga South,3510,-36.8331861,175.7024856
199,Waikato,NZ-WKO,Thames Coast,0,-37.0760914,175.5190919
200,Waikato,NZ-WKO,Cooks Beach-Ferry Landing,3510,-36.8338125,175.7117072
201,Waikato,NZ-WKO,Mercury Bay South,3510,-36.8158558,175.7226052
202,Waikato,NZ-WKO,Kauaeranga,3577,-37.103123,175.6337464
203,Waikato,NZ-WKO,Thames North,3500,-37.1250116,175.5338427
204,Waikato,NZ-WKO,Thames Central,3500,-37.137983,175.5418037
205,Waikato,NZ-WKO,Thames South,3500,-37.137983,175.5418037
206,Waikato,NZ-WKO,Hikuai,0,-37.0744996,175.7836977
207,Waikato,NZ-WKO,Tairua,3579,-37.1264236,175.7413584
208,Waikato,NZ-WKO,Pauanui,3579,-37.03594,175.87394
209,Waikato,NZ-WKO,Matatoki-Puriri,3578,-37.2066636,175.6062003
210,Waikato,NZ-WKO,Whangamata Rural,0,-37.209164,175.8709805
211,Waikato,NZ-WKO,Whangamata,0,-37.209164,175.8709805
212,Waikato,NZ-WKO,Miranda-Pukorokoro,0,-37.1846552,175.3152855
213,Waikato,NZ-WKO,Hauraki Plains North,1,-37.27697955,175.4918269
214,Waikato,NZ-WKO,Hauraki Plains East,1,-37.27697955,175.4918269
215,Waikato,NZ-WKO,Ngatea,3503,-37.2757232,175.4916548
216,Waikato,NZ-WKO,Hauraki Plains South,1,-37.27697955,175.4918269
217,Waikato,NZ-WKO,Paeroa Rural,3600,-37.3804671,175.6704263
218,Waikato,NZ-WKO,Paeroa,3600,-37.3804671,175.6704263
219,Waikato,NZ-WKO,Waihi Rural,3610,-37.391462,175.8403538
220,Waikato,NZ-WKO,Waihi North,3610,-37.391462,175.8403538
221,Waikato,NZ-WKO,Waihi East,3610,-37.391462,175.8403538
222,Waikato,NZ-WKO,Waihi South,3610,-37.391462,175.8403538
223,Waikato,NZ-WKO,Aka Aka,2682,-37.2923112,174.784755
224,Waikato,NZ-WKO,Mangatangi,0,-37.1276699,175.1885876
225,Waikato,NZ-WKO,Tuakau Rural,2121,-37.2625891,174.9473466
226,Waikato,NZ-WKO,Tuakau North,2121,-37.2625891,174.9473466
227,Waikato,NZ-WKO,Pokeno Rural,2472,-37.2450029,175.0217771
228,Waikato,NZ-WKO,Tuakau South,2121,-37.2625891,174.9473466
229,Waikato,NZ-WKO,Port Waikato-Waikaretu,0,-37.390101,174.7290158
230,Waikato,NZ-WKO,Pokeno,2472,-37.2450029,175.0217771
231,Waikato,NZ-WKO,Maramarua,2471,-37.2918257,175.119716
232,Waikato,NZ-WKO,Te Kauwhata,3710,-37.4034637,175.1468012
233,Waikato,NZ-WKO,Huntly Rural,3700,-37.5606311,175.1599758
234,Waikato,NZ-WKO,Waerenga,0,-37.3681447,175.2437139
235,Waikato,NZ-WKO,Huntly West,3700,-37.554983,175.1490445
236,Waikato,NZ-WKO,Huntly East,3700,-37.5606311,175.1599758
237,Waikato,NZ-WKO,Raglan,3225,-37.8003499,174.8744331
238,Waikato,NZ-WKO,Whitikahu,0,-37.6131244,175.3469865
239,Waikato,NZ-WKO,Te Uku,0,-37.8288532,174.9560416
240,Waikato,NZ-WKO,Taupiri-Lake Kainui,3721,-37.6135384,175.1901144
241,Waikato,NZ-WKO,Ngaruawahia North,3720,-37.6662658,175.1500534
242,Waikato,NZ-WKO,Ngaruawahia Central,3720,-37.6662658,175.1500534
243,Waikato,NZ-WKO,Ngaruawahia South,3720,-37.6662658,175.1500534
244,Waikato,NZ-WKO,Kainui-Gordonton,3721,-37.6419998,175.2124071
245,Waikato,NZ-WKO,Te Kowhai,3288,-37.7377426,175.1553954
246,Waikato,NZ-WKO,Whatawhata West,3289,-37.7969254,175.1539443
247,Waikato,NZ-WKO,Horotiu,3241,-37.6987684,175.1974585
248,Waikato,NZ-WKO,Horsham Downs,3281,-37.6985246,175.249722
249,Waikato,NZ-WKO,Whatawhata East,3289,-37.7969254,175.1539443
250,Waikato,NZ-WKO,Rotokauri,3289,-37.7726142,175.1960564
251,Waikato,NZ-WKO,Eureka-Tauwhare,3287,-37.7394816,175.4267686
252,Waikato,NZ-WKO,Tamahere North,3283,-37.8286509,175.3514757
253,Waikato,NZ-WKO,Tamahere South,3283,-37.8286509,175.3514757
254,Waikato,NZ-WKO,Tahuna-Mangateparu,0,-37.5895269,175.5022807
255,Waikato,NZ-WKO,Mangaiti,3320,-37.4968963,175.7045503
256,Waikato,NZ-WKO,Tatuanui,0,-37.6223299,175.5952063
257,Waikato,NZ-WKO,Tahuroa,0,-37.7195188,175.5228191
258,Waikato,NZ-WKO,Morrinsville East,3300,-37.6578873,175.5304788
259,Waikato,NZ-WKO,Morrinsville West,3300,-37.6578873,175.5304788
260,Waikato,NZ-WKO,Te Aroha East,3320,-37.5429037,175.7126747
261,Waikato,NZ-WKO,Te Aroha West,0,-37.5890707,175.731833
262,Waikato,NZ-WKO,Waihou-Manawaru,3320,-37.575978,175.6759626
263,Waikato,NZ-WKO,Waitoa-Ngarua,3475,-37.7765668,175.7397883
264,Waikato,NZ-WKO,Richmond Downs-Wardville,0,-37.7906417,175.6679964
265,Waikato,NZ-WKO,Waharoa-Peria,3474,-37.7608408,175.759007
266,Waikato,NZ-WKO,Okauia,0,-37.7873011,175.8401728
267,Waikato,NZ-WKO,Hinuera,0,-37.8798977,175.7608705
268,Waikato,NZ-WKO,Matamata North,0,-37.6843364,175.6523139
269,Waikato,NZ-WKO,Matamata South,0,-37.6843364,175.6523139
270,Waikato,NZ-WKO,Te Poi,0,-37.8714373,175.8433263
271,Waikato,NZ-WKO,Te Rapa North,3241,-37.7284022,175.2251511
272,Waikato,NZ-WKO,Rotokauri-Waiwhakareke,3289,-37.7726142,175.1960564
273,Waikato,NZ-WKO,Rototuna North,3210,-37.7282049,175.2637544
274,Waikato,NZ-WKO,Pukete West,3200,-37.7417459,175.242528
275,Waikato,NZ-WKO,Rototuna Central,3210,-37.7356727,175.2694426
276,Waikato,NZ-WKO,Pukete East,3200,-37.7417459,175.242528
277,Waikato,NZ-WKO,Rototuna South,3210,-37.7356727,175.2694426
278,Waikato,NZ-WKO,Te Rapa South,3241,-37.7284022,175.2251511
279,Waikato,NZ-WKO,Saint Andrews West,3200,-37.7495717,175.2547772
280,Waikato,NZ-WKO,Queenwood (Hamilton City),3210,-37.7482364,175.2716992
281,Waikato,NZ-WKO,Huntington,3210,-37.7428038,175.2817531
282,Waikato,NZ-WKO,Western Heights (Hamilton City),9,-37.7897503,175.2338109
283,Waikato,NZ-WKO,Nawton West,0,-37.78170935,175.2324026
284,Waikato,NZ-WKO,Nawton East,0,-37.78170935,175.2324026
285,Waikato,NZ-WKO,Chartwell,3214,-37.7588097,175.2778932
286,Waikato,NZ-WKO,Forest Lake (Hamilton City),3200,-37.7744678,175.2548771
287,Waikato,NZ-WKO,Chedworth,3214,-37.7528512,175.2856038
288,Waikato,NZ-WKO,Beerescourt,3204,-37.7711515,175.2639865
289,Waikato,NZ-WKO,Miropiko,0,-37.7787149,175.2807605
290,Waikato,NZ-WKO,Porritt,0,-37.8791544,175.3980655
291,Waikato,NZ-WKO,Dinsdale North,3204,-37.7967141,175.2427636
292,Waikato,NZ-WKO,Maeroa,3204,-37.7814048,175.2608814
293,Waikato,NZ-WKO,Dinsdale South,3204,-37.7967141,175.2427636
294,Waikato,NZ-WKO,Fairfield (Hamilton City),3214,-37.7685839,175.2863662
295,Waikato,NZ-WKO,Whitiora,3204,-37.7746188,175.2678314
296,Waikato,NZ-WKO,Enderley North,3214,-37.7655466,175.2946726
297,Waikato,NZ-WKO,Fairview Downs,3214,-37.7645229,175.3048646
298,Waikato,NZ-WKO,Temple View,9,-37.8180224,175.2224497
299,Waikato,NZ-WKO,Swarbrick,0,-37.7908977,175.2513499
300,Waikato,NZ-WKO,Frankton Junction,3204,-37.7867073,175.2677245
301,Waikato,NZ-WKO,Kirikiriroa,0,-37.7878809,175.281788
302,Waikato,NZ-WKO,Enderley South,3214,-37.7655466,175.2946726
303,Waikato,NZ-WKO,Ruakura,3216,-37.7716738,175.3185662
304,Waikato,NZ-WKO,Claudelands,3214,-37.7762014,175.2946044
305,Waikato,NZ-WKO,Hamilton Central,3204,-37.7846048,175.2770545
306,Waikato,NZ-WKO,Hamilton Lake,3206,-37.8039731,175.2723475
307,Waikato,NZ-WKO,Peachgrove,72,-37.78414,175.2999435
308,Waikato,NZ-WKO,Hamilton East Village,3247,-37.7957861,175.2979636
309,Waikato,NZ-WKO,Hamilton West,0,-37.7878809,175.281788
310,Waikato,NZ-WKO,Greensboro,0,-37.78496995,175.3114234
311,Waikato,NZ-WKO,Melville North,3206,-37.8103816,175.277996
312,Waikato,NZ-WKO,Hamilton East,3247,-37.7957861,175.2979636
313,Waikato,NZ-WKO,Melville South,3206,-37.8103816,175.277996
314,Waikato,NZ-WKO,Deanwell,3206,-37.8192271,175.27509
315,Waikato,NZ-WKO,Bader,3206,-37.8091531,175.2915713
316,Waikato,NZ-WKO,Hillcrest West (Hamilton City),132,-37.79248525,175.3251166
317,Waikato,NZ-WKO,Hillcrest East (Hamilton City),132,-37.79248525,175.3251166
318,Waikato,NZ-WKO,Silverdale (Hamilton City),3251,-37.7933758,175.3304609
319,Waikato,NZ-WKO,Glenview,3206,-37.8234248,175.2875366
320,Waikato,NZ-WKO,Resthill,3206,-37.8237623,175.2902362
321,Waikato,NZ-WKO,Fitzroy,3206,-37.8154928,175.3006245
322,Waikato,NZ-WKO,Riverlea,3251,-37.8065325,175.3243878
323,Waikato,NZ-WKO,Peacockes,3251,-37.817071,175.3146773
324,Waikato,NZ-WKO,Te Pahu,0,-37.9160016,175.1360615
325,Waikato,NZ-WKO,Ngahinapouri,3882,-37.8953116,175.2077508
326,Waikato,NZ-WKO,Lake Cameron,0,-37.85530695,175.3024008
327,Waikato,NZ-WKO,Lake Ngaroto,0,-37.9537668,175.2889256
328,Waikato,NZ-WKO,Kaipaki,3283,-37.8846425,175.3772664
329,Waikato,NZ-WKO,Pirongia,3844,-37.989113,175.2037544
330,Waikato,NZ-WKO,Hautapu Rural,3493,-37.8597573,175.4513001
331,Waikato,NZ-WKO,Pokuru,0,-38.0561064,175.2349771
332,Waikato,NZ-WKO,Te Rahu,3840,-37.9761377,175.3268851
333,Waikato,NZ-WKO,Fencourt,3493,-37.8418812,175.4717591
334,Waikato,NZ-WKO,Karapiro,0,-37.98884655,175.6590704
335,Waikato,NZ-WKO,Cambridge North,3283,-37.8623554,175.4001285
336,Waikato,NZ-WKO,Cambridge West,3434,-37.8917889,175.4691069
337,Waikato,NZ-WKO,Cambridge East,3434,-37.8917889,175.4691069
338,Waikato,NZ-WKO,Cambridge Park-River Garden,3434,-37.9029561,175.4602647
339,Waikato,NZ-WKO,Pukerimu,3873,-38.1208424,175.4271546
340,Waikato,NZ-WKO,Cambridge Central,3434,-37.8917889,175.4691069
341,Waikato,NZ-WKO,Te Awamutu North,3800,-38.0101564,175.3257827
342,Waikato,NZ-WKO,Te Awamutu West,3800,-38.0101564,175.3257827
343,Waikato,NZ-WKO,Leamington West,3432,-37.9046407,175.4752385
344,Waikato,NZ-WKO,Goodfellow Park,3204,-37.7822753,175.2553117
345,Waikato,NZ-WKO,Leamington South,3432,-37.9046407,175.4752385
346,Waikato,NZ-WKO,Leamington Central,3432,-37.9046407,175.4752385
347,Waikato,NZ-WKO,Leamington East,3432,-37.9046407,175.4752385
348,Waikato,NZ-WKO,Te Awamutu Stadium,3800,-38.0158871,175.3170619
349,Waikato,NZ-WKO,Te Awamutu Central,3800,-38.0101564,175.3257827
350,Waikato,NZ-WKO,Sherwin Park,0,-38.0187177,175.3315628
351,Waikato,NZ-WKO,St Leger,3800,-38.0328902,175.3312133
352,Waikato,NZ-WKO,Rotoorangi,0,-37.9799277,175.4591274
353,Waikato,NZ-WKO,Kihikihi Central,3800,-38.0372651,175.3450666
354,Waikato,NZ-WKO,Maungatautari,3880,-38.0189013,175.5759822
355,Waikato,NZ-WKO,Pirongia Forest,3844,-37.989113,175.2037544
356,Waikato,NZ-WKO,Honikiwi,0,-38.1480573,175.1189804
357,Waikato,NZ-WKO,Te Kawa,0,-38.0948658,175.2816296
358,Waikato,NZ-WKO,Otorohanga,3900,-38.1823014,175.2155142
359,Waikato,NZ-WKO,Maihiihi,3972,-38.2166642,175.3846333
360,Waikato,NZ-WKO,Puniu,3844,-38.0988633,175.4227966
361,Waikato,NZ-WKO,Tirau,3410,-37.976753,175.7587725
362,Waikato,NZ-WKO,Kinleith,0,-38.2833659,175.9025836
